Funnel Report,First App Open,Read Oboarding,Sign Up,Load Topic,Topic Choosed,Load Learning Page,Sub Topic Choosed,Read Material,Correct Answer Quiz,Finish Hooray,Exercise Choosed,Correct Answer Exercise,Finish Hooray,Total Conversion
Aug 17/2022 - Nov 14/2022,140,134,97,80,71,71,68,68,51,51,45,36,35,25%
Aug 17/2022 - Sept 15/2022,32,29,22,18,15,15,14,14,11,11,9,8,8,25%
Sept 16/2022 - Okt 15/2022,54,53,35,28,26,26,24,24,18,18,18,12,11,20.37%
Okt 16/2022 - Nov 14/2022,54,52,40,34,30,30,30,30,22,22,18,16,16,29.63%
