Funnel report Aug 17/2022 - Nov 14/2022,,,,,,,,,,,,,
1 First App Open,2 Read Oboarding,3 Sign Up,4 Load Topic,5 Topic Choosed,6 Load Learning Page,7 Sub Topic Choosed,8 Read Material,9 Correct Answer Quiz,10 Finish Hooray,11 Exercise Choosed,12 Correct Answer Exercise,13 Finish Hooray,
140,95.71%,72.39%,82.47%,88.75%,100%,95.77%,100%,75%,100%,88.24%,80%,97.22%,
